time,pos,vel,acc
0.000000000000000000e+00,9.599310885968770357e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.862858030000000165e-01,1.745246982361849386e-01,6.089479889190198003e-01,1.452212965092811725e+00
6.892987010000000137e-01,3.489534033635102173e-01,9.916066684595910008e-01,1.478590198469699413e+00
8.444825559999999953e-01,5.233821084908354404e-01,1.221003559678068395e+00,1.349299645696205863e+00
9.768266479999999641e-01,6.978108136181606636e-01,1.408996949454321967e+00,1.464072541765918833e+00
1.093112451000000096e+00,8.722395187454861087e-01,1.408996949454321967e+00,-1.464072541765918833e+00
1.225456542999999954e+00,1.046668223872811332e+00,1.221003559678068617e+00,-1.349299645696203198e+00
1.380640397999999935e+00,1.221096929000136777e+00,9.916066684595914449e-01,-1.478590198469698302e+00
1.583653296000000044e+00,1.395525634127461778e+00,6.089479889190202444e-01,-1.452212965092813945e+00
2.069939098999999949e+00,1.569954339254787223e+00,0.000000000000000000e+00,-1.475247103020459916e+00
